"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"207334_s_at",-4.18936569718139,4.74371745227677,-8.18825540071065,7.79223735332835e-10,4.92547323103885e-06,12.2396711169231
"214040_s_at",-5.69868100417629,5.97771588592679,-7.51225373779061,5.88899404657476e-09,1.6907413384807e-05,10.3673085950323
"211277_x_at",-2.45656988423574,7.59669373414771,-7.41018925342782,8.02440122677124e-09,1.6907413384807e-05,10.0798332293541
"217248_s_at",-4.23687028010577,4.10499497823937,-7.15675748541172,1.73716379609662e-08,2.74515308878168e-05,9.36114874401619
"214251_s_at",-4.48470948162014,4.39863598896307,-6.93660349932575,3.41282268819056e-08,4.31449044241051e-05,8.73163849677428
"208900_s_at",-2.04968670838681,7.0771129042517,-6.74248416812134,6.20862540497359e-08,6.54078686413968e-05,8.17300431889301
"205461_at",-3.10999361629835,4.72884970296175,-6.39857759081314,1.80248119807011e-07,0.000156626765115229,7.17643519932372
"201044_x_at",-4.80700509646374,5.83915307105917,-6.36798676642584,1.98230362430285e-07,0.000156626765115229,7.08743234646341
"200796_s_at",-3.84030509311936,5.30487751147199,-6.28994992776435,2.52697584987306e-07,0.000177477937189418,6.86016711353506
"201465_s_at",-4.04829498557375,7.3445983474999,-6.25213587726617,2.84266675231611e-07,0.000179684965413901,6.74993615596038
"215600_x_at",-2.54049843787237,8.30223688474937,-6.07131854196575,4.99418630383815e-07,0.000280940699677788,6.22203490831672
"217675_at",-2.60556710535615,2.28529147483815,-6.05024654363396,5.33347317850571e-07,0.000280940699677788,6.16044167896994
"211876_x_at",-4.53266348446329,4.15293087736595,-6.01796020348966,5.89867881374752e-07,0.00028681191370537,6.06604508306132
"215067_x_at",-2.75237786140869,7.16418158131377,-5.92843563802732,7.79993679842302e-07,0.000309823332867007,5.80416999886863
"218228_s_at",-2.17936442427675,7.90865398257509,-5.91462033970351,8.14366054171117e-07,0.000309823332867007,5.76374373917707
"206439_at",2.46711969921149,5.83736598653047,5.90750379461774,8.32659568901484e-07,0.000309823332867007,5.74291811505896
"222339_x_at",-3.05706107818939,4.79959065006352,-5.90727529691127,8.33253703328449e-07,0.000309823332867007,5.74224943361182
"221031_s_at",-2.42565603713006,9.15665676561991,-5.84257309962877,1.01976832621233e-06,0.000338749095031112,5.5528747429187
"200671_s_at",-4.2683917031076,5.00599084505653,-5.82923023140974,1.06314697805217e-06,0.000338749095031112,5.51381613160317
"221638_s_at",-2.42573398308571,5.34335757463489,-5.81273853961148,1.11932184857073e-06,0.000338749095031112,5.46553793883643
"220720_x_at",-2.62584369925513,7.864241834313,-5.81100051400214,1.12541227585087e-06,0.000338749095031112,5.46044988459271
"221017_s_at",-2.17090763926913,3.72917200919026,-5.76471753098509,1.30037643887158e-06,0.000373621794095785,5.32495113068999
"206824_at",-2.06705958356969,3.28244590146091,-5.69635559451473,1.60975513642098e-06,0.000442402705100738,5.12480823968373
"207499_x_at",-2.33767126259049,6.96251196917695,-5.62180809967286,2.03150704985952e-06,0.000479231019684123,4.90658189544598
"212107_s_at",-2.58465627206761,6.00033611969624,-5.62022715955253,2.04155539804954e-06,0.000479231019684123,4.90195452408596
"201679_at",-3.01987942279154,4.97738519213726,-5.61704898093796,2.06190609181271e-06,0.000479231019684123,4.89265217102273
"200917_s_at",-3.24178988783035,5.83542924463348,-5.61449832331898,2.07838501460909e-06,0.000479231019684123,4.88518663044532
"202434_s_at",-3.57194046008111,4.68004399115143,-5.60771694385029,2.1228395113361e-06,0.000479231019684123,4.86533857316822
"210787_s_at",-2.65046983869181,5.14485239030719,-5.59431591564967,2.21349897627467e-06,0.000482466449276972,4.82611771175478
"208965_s_at",-1.88039232811095,8.85077358136835,-5.56428926116458,2.43090982367967e-06,0.000512192699849306,4.73824881393278
"220221_at",-2.49047124675128,5.43858566310858,-5.52516939604765,2.74643128176285e-06,0.000539767919167837,4.62379515718687
"208629_s_at",-1.85042767394013,8.86644534708997,-5.52188270902112,2.77473095921349e-06,0.000539767919167837,4.61418072447521
"215208_x_at",-2.87082485619658,5.14878001518763,-5.51678450503974,2.8192051324689e-06,0.000539767919167837,4.59926761519164
"209959_at",-3.29425148462576,6.29309477258092,-5.50316421832282,2.94153979364303e-06,0.000539767919167837,4.55942900716673
"213986_s_at",-2.48380195330741,6.72522533651698,-5.49805874598766,2.98874816814971e-06,0.000539767919167837,4.54449695426558
"207574_s_at",-1.90519364242929,10.689180299642,-5.48619340466307,3.10140141678501e-06,0.000544554398763834,4.50979680731468
"217007_s_at",-1.95565872789686,6.81376594547794,-5.4730407152913,3.23123140507139e-06,0.000552016586796115,4.47133624401917
"204560_at",-3.81625636329213,5.2691957728533,-5.44724436864936,3.5018098621863e-06,0.000572447480639873,4.39591807744238
"208499_s_at",-2.44362086105193,6.00314487510133,-5.44330442755733,3.54507876626133e-06,0.000572447480639873,4.38440105161031
"217924_at",-2.14694781741429,6.82887866064979,-5.43637173779909,3.62251213820518e-06,0.000572447480639873,4.36413698009422
"215660_s_at",-2.80763160690819,5.06900625669533,-5.38986987261253,4.18731564818388e-06,0.00062308400619742,4.22825542482794
"202601_s_at",-3.00378673107248,4.71450273335339,-5.38642166765713,4.23253387274781e-06,0.00062308400619742,4.21818265072088
"202773_s_at",-2.60625114960702,5.29790661232794,-5.38288106032094,4.27946999507596e-06,0.00062308400619742,4.20784042642147
"202340_x_at",-3.04194463269586,7.65937653018244,-5.37857590586324,4.33724035321729e-06,0.00062308400619742,4.19526558833858
"205210_at",-2.39495562978211,4.86706828839185,-5.3412370889206,4.8720050764149e-06,0.00068435431306708,4.08623478536454
"203890_s_at",-1.843710146673,6.48917466211724,-5.31629329490679,5.26533262910918e-06,0.000723525381491285,4.01343131900335
"212027_at",-1.5617372630234,7.70265954631563,-5.273267370759,6.01946449953518e-06,0.000809553938331104,3.88792047755223
"217607_x_at",-2.38428956036377,3.85380451070957,-5.24190338849788,6.63603699901812e-06,0.000873883122308199,3.79648833358574
"207730_x_at",-1.95947791161251,9.70895405551021,-5.18363854191994,7.95286063255637e-06,0.00100593726803902,3.62678263123242
"203496_s_at",-3.20216518350072,4.86582831376835,-5.18346669672679,7.95710542666522e-06,0.00100593726803902,3.62628240734284
